exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,5,dmist^{+/+},207.5,218,80,59,59,2.56290095446722,3.8756038647343,1.8857601802114,1.18737656641604
1,5,dmist^{+/+},411,279,165,75.5,75.5,2.49271953405018,3.28907528641571,1.31766501863599,0.820197579882776
1,5,dmist^{+/+},159.5,244,88.5,77.5,77.5,1.83506944444444,3.37681818181818,1.18119113018812,0.960548017236957
1,5,dmist^{+/+},316.5,453.5,113.5,69.5,69.5,2.62865981178111,6.82024265644955,0.968583495433019,0.490754257907542
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/+},186,230,88,80.5,80.5,2.11666666666667,2.9483704974271,2.56161675230718,1.18479166666667
1,5,dmist^{vir/+},84.5,164,58,77.5,77.5,1.45689655172414,2.10527193860527,1.63688760338636,0.789521995532917
1,5,dmist^{vir/+},342,380.5,130.5,99,99,2.52156045265039,3.84406146179402,1.26061993106245,0.780291469163873
1,5,dmist^{vir/+},526.5,484.5,167,82.5,82.5,3.19522436475041,5.95782595782596,0.380881972723159,0.358296010069963
1,5,dmist^{vir/+},337,510.5,120,49.5,49.5,2.79258127257572,10.3645662847791,1.72333223875319,0.825834455389412
1,5,dmist^{vir/+},323.5,388,154,111.5,111.5,1.9894646409839,3.46923883244638,0.813430280236831,0.523431825685044
1,5,dmist^{vir/+},295,390,105,77,77,3.15407407407407,5.09487569761542,2.97342918730508,1.16554385964912
1,5,dmist^{vir/+},479,370,165,136.5,136.5,2.98138916583583,2.90398773006135,0.79351049980189,0.794853532748839
1,5,dmist^{vir/+},41,148,28,71,71,1.40952380952381,2.10488245931284,1.61215322118578,0.892236439668194
1,5,dmist^{vir/+},118,296.5,42,61.5,61.5,2.91974921630094,4.84017094017094,1.77640969286334,0.751479475708344
1,5,dmist^{vir/+},51,201.5,37,72.5,72.5,1.34627329192547,2.74710925039872,2.00462505060571,0.994787234042553
1,5,dmist^{vir/+},240,191,94,66.5,66.5,2.55242566510172,2.87938596491228,1.53305434782609,0.752495655196386
1,5,dmist^{vir/+},163.5,207,84.5,61,61,1.9359824957651,3.32802197802198,1.18667316561059,0.992705478480438
1,5,dmist^{vir/+},162.5,350.5,99.5,117,117,1.61777920410783,3.01478899082569,1.20543593863358,0.591309062384643
1,5,dmist^{vir/+},282.5,304,128,107.5,107.5,2.20393450635386,2.85346173867777,1.32057128663686,0.815474972499365
1,5,dmist^{vir/+},166.5,207,78.5,74,74,2.08524904214559,2.86332782975601,1.55622308856046,0.85797094521021
1,5,dmist^{vir/+},350,284,140,78,78,2.43555555555556,3.63453947368421,0.908481682285175,0.683281374954254
1,5,dmist^{vir/+},658,565,116,30.5,30.5,5.8074219635704,19.464527027027,0.304114979724735,0.158936820873186
1,5,dmist^{vir/+},61,150.5,43.5,74.5,74.5,1.3859649122807,2.02971014492754,1.47871938733144,0.777062588904694
1,5,dmist^{vir/+},174,186,84.5,78.5,78.5,2.05553221288515,2.51953578336557,1.42067563657407,0.836138209141681
1,5,dmist^{vir/+},127,214.5,67.5,79.5,79.5,1.87400793650794,2.7412559618442,1.40036646390902,0.890949888014829
1,5,dmist^{vir/+},48.5,205,29.5,73,73,1.60431235431235,2.80821917808219,2.23650319920658,0.934539064812076
1,5,dmist^{vir/+},378.5,428.5,130,76.5,76.5,2.87295081967213,5.72980769230769,1.03828857094322,0.622999429223744
1,5,dmist^{vir/+},417,416,115.5,84,84,3.61420539730135,5.056236481615,1.55974492545357,0.859768349817803
1,5,dmist^{vir/vir},275.5,316,101,90,90,2.73509803921569,3.512104743083,2.21382352941176,0.959793351302785
1,5,dmist^{vir/vir},76,112,58,53.5,53.5,1.2883787661406,2.11970338983051,1.79370016188258,1.13861685823755
1,5,dmist^{vir/vir},108.5,262,48,61,61,2.13611111111111,4.26048387096774,1.43182872888747,0.837998277559055
1,5,dmist^{vir/vir},251.5,203.5,101.5,73.5,73.5,2.50478564307079,2.80470834921845,1.45002331061393,1.07456511505852
1,5,dmist^{vir/vir},156.5,276.5,82.5,82,82,1.84695652173913,3.43361244019139,1.97406176889959,0.759242681333256
1,5,dmist^{vir/vir},111,269,47.5,90.5,90.5,2.37613636363636,3.03828493422685,2.80011139807644,0.780260842237586
1,5,dmist^{vir/vir},386,466.5,126.5,69.5,69.5,2.9730554473445,6.81422305764411,1.10633704544833,0.629068503080825
1,5,dmist^{vir/vir},428.5,333.5,124.5,72,72,3.4407573558517,4.63194444444444,0.93807290282576,0.683462182101021
