exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,dmist^{+/+},198.5,356,50.5,37.5,37.5,4.44350649350649,27.2066761363636,1.91983002832861,0.683436443542935
1,6,dmist^{+/+},631,447,53.5,16.5,16.5,11.9426229508197,27.0777777777778,1.17146525011067,0.86226168224299
1,6,dmist^{+/+},82,249,12,55.5,55.5,6.66433566433566,5.82714491708724,5.24150195069594,1.39886131053593
1,6,dmist^{+/+},215,533.5,41,46.5,46.5,5.5946649316851,12.0164092664093,3.92913152892981,0.545000959508731
1,6,dmist^{+/+},172.5,276.5,21,62,62,10.2434210526316,4.84989316239316,3.7174374403694,1.15786105015425
1,6,dmist^{+/+},653.5,565,38.5,21,21,16.9534412955466,66.6432432432432,2.82132839620458,0.642129560685033
1,6,dmist^{+/+},244,382,35.5,79,79,6.75598086124402,5.29669577127204,4.13295618463757,0.654031996823305
1,6,dmist^{+/+},122,442,17,52.5,52.5,8.00732600732601,15.2176470588235,4.03743950123124,1.82794072560041
1,6,dmist^{+/+},363.5,474,57,46,46,6.27388337468983,10.4729794356767,2.98862370635098,0.885447308296444
1,6,dmist^{+/+},66.5,319.5,11,30,30,6.04545454545454,44.8796296296296,4.61643898384553,2.39175779901002
1,6,dmist^{+/+},472,563,66,17,17,7.18219461697723,34.4178571428571,1.69697180689925,0.490095791994526
1,6,dmist^{+/+},166,370,45.5,52.5,52.5,3.79260563380282,10.8506493506494,2.73675139733684,0.886635944700461
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
