exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,5,dmist^{+/+},22,32,10.5,21,21,1.96428571428571,1.49494949494949,9.28386472360028,4.9267694806679
1,5,dmist^{+/+},9.5,12.5,3.5,8,8,2.71428571428571,1.3,9.41510256520989,5.60972410914743
1,5,dmist^{+/+},51,154,9.5,51.5,51.5,4.93452380952381,3.74931600547196,9.24310515386949,3.70099672333274
1,5,dmist^{+/+},99.5,138.5,34.5,54.5,54.5,2.30938914027149,2.53804713804714,7.9215097323601,2.96949021932424
1,5,dmist^{+/+},174.5,200,76,73.5,73.5,2.49962511715089,2.71861681518791,5.05047411617044,2.59944400616101
1,5,dmist^{+/+},169.5,27,43,3.5,3.5,3.93849765258216,Inf,9.40087701337702,6.14428688977477
1,5,dmist^{+/+},79.5,167,31,63,63,4.25409836065574,3.03584905660377,8.06438259109312,3.6671368676776
1,5,dmist^{+/+},8,64,4,41.5,41.5,1.57142857142857,1.50934065934066,7.38026336573947,3.23810516410959
1,5,dmist^{+/+},71.5,65.5,26,43.5,43.5,2.78869047619048,1.41582597730139,7.51479528839935,2.3836657279442
1,5,dmist^{+/+},57.5,178.5,10.5,45.5,45.5,4.73333333333333,6.16011235955056,11.6198329974086,9.92684328164415
1,5,dmist^{+/+},8.5,2.5,6.5,2.5,2.5,1.16666666666667,1,7.13651397277763,4.27268147581532
1,5,dmist^{+/+},47,81.5,20.5,54.5,54.5,2.03591954022989,1.50612244897959,5.9752998696219,2.88836258923337
1,5,dmist^{+/+},3,12.5,1,9.5,9.5,3,2.11111111111111,7.27269993164731,4.34008412496271
1,5,dmist^{+/+},111,4,14,3,3,10.0416666666667,1.5,6.83100519560627,3.86011705685619
1,5,dmist^{+/+},69,4.5,9.5,4,4,7.26315789473684,1.25,9.21340639620585,5.54446732829423
1,5,dmist^{+/+},21,0.5,6.5,0.5,0.5,3.23076923076923,1,8.37372795414462,5.1448969115192
1,5,dmist^{+/+},49.5,20.5,15.5,13.5,13.5,2.89814814814815,1.49166666666667,11.7225265730992,5.04499577032886
1,5,dmist^{+/+},267.5,207.5,68,59,59,3.6776367961935,3.32529217860354,5.95987660990578,3.97935103244838
1,5,dmist^{+/+},69.5,108,31,42,42,2.5610119047619,2.43673469387755,5.84148346990215,2.96375406046976
1,5,dmist^{+/+},63,4,17,3.5,3.5,2.4375,1.5,7.79465993201317,5.21440523968785
1,5,dmist^{+/+},69,132,34,47.5,47.5,2.04761904761905,2.78305235137533,4.62983808259447,2.38415464950725
1,5,dmist^{+/+},22.5,6.5,3.5,3,3,4.16666666666667,2.16666666666667,8.41318223443224,5.40233293154282
1,5,dmist^{+/+},144.5,106.5,50.5,62,62,2.69929577464789,1.65301974448316,6.36824947794555,2.75097559115179
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/+},503.5,339,147.5,124,124,3.47775099656995,2.76253918495298,4.32825363196125,1.29180513003206
1,5,dmist^{vir/+},5,14.5,3.5,10,10,2.08333333333333,1.5625,8.99773269689737,3.92119790005014
1,5,dmist^{vir/+},393,247.5,168,110,110,2.37355994879818,2.25,3.9778435582822,1.29481916880228
1,5,dmist^{vir/+},63.5,113,24.5,49.5,49.5,2.65992647058824,2.045,10.3382416237113,4.75014936281859
1,5,dmist^{vir/+},36.5,91.5,26.5,53,53,1.67,1.72641509433962,6.65961792151737,3.33071440793977
1,5,dmist^{vir/+},28,16.5,16.5,13,13,1.67261904761905,1.2797619047619,5.65549573783084,4.42332224698753
1,5,dmist^{vir/+},12,36,2,20.5,20.5,9.33333333333333,1.3875,9.20457972279821,3.68969223826715
1,5,dmist^{vir/+},33.5,11.5,15,10.5,10.5,2.35,1.06666666666667,7.18945766350018,4.26097237600431
1,5,dmist^{vir/+},150,62,44,27,27,3.50649350649351,2.875,12.4247285747286,7.10130795061563
1,5,dmist^{vir/+},10.5,13.5,4.5,10.5,10.5,2.45,1.28181818181818,8.18562519210582,3.55295209649299
1,5,dmist^{vir/+},282.5,200,86,56,56,3.17013888888889,2.2972972972973,9.97676044041324,3.52417737722048
1,5,dmist^{vir/+},19,12,8.5,8,8,2.01190476190476,1.26666666666667,6.904702250097,3.93483640246434
1,5,dmist^{vir/+},11,137,5,63.5,63.5,2.33333333333333,2.2067716141929,11.2205040138799,3.34760029260028
1,5,dmist^{vir/+},15,7,4,4.5,4.5,3.2,1.58333333333333,10.4221192195516,5.38034511784512
1,5,dmist^{vir/+},0.5,4.5,0.5,4.5,4.5,1,1,8.00140530109542,5.19032070847596
1,5,dmist^{vir/+},49.5,122.5,18.5,42,42,2.64912280701754,3.16122448979592,5.30523276212932,2.85225375214276
1,5,dmist^{vir/+},527,245.5,116.5,83,83,5.13694638694639,3.0727418648767,1.46206425924071,1.55275825451042
1,5,dmist^{vir/+},12.5,9,4.5,7,7,2.85,1.26666666666667,6.95043094595494,4.07915966386554
1,5,dmist^{vir/+},47,57,14,16,16,3.14973262032086,3.34615384615385,8.87991162299549,4.70447340721937
1,5,dmist^{vir/+},4.5,59,3.5,27,27,2,2.03974562798092,9.84127018194513,3.7046570778482
1,5,dmist^{vir/+},4.5,6.5,4,5.5,5.5,1.125,1.22916666666667,9.34378733572282,5.18170773040229
1,5,dmist^{vir/+},27,14.5,7,6.5,6.5,3.85714285714286,2.02777777777778,9.21356520966594,5.92885786655921
1,5,dmist^{vir/+},30,12.5,15.5,6.5,6.5,1.74285714285714,1.73611111111111,11.179136326968,6.0489283255894
1,5,dmist^{vir/+},68.5,99.5,43,40.5,40.5,1.64341736694678,2.00081967213115,4.99058898847632,1.59762603671606
1,5,dmist^{vir/+},153.5,191,63,83.5,83.5,2.42624839948784,2.28050531151306,5.34496549870921,2.66282868339048
1,5,dmist^{vir/+},474,461,129.5,93,93,3.72181151580719,5.04304597028892,4.08956747843733,0.744140857653364
1,5,dmist^{vir/+},267,113.5,87,64,64,2.81724581724582,1.53902229845626,9.49462415865503,4.10655330173079
1,5,dmist^{vir/+},111,140,38.5,71.5,71.5,2.44736842105263,1.79504504504505,7.62257373835116,2.50294353139486
1,5,dmist^{vir/+},60,66.5,15,27,27,4,2.44917582417582,7.09494367639529,5.08197543912627
1,5,dmist^{vir/+},59,67.5,23,36,36,2.36774193548387,1.93181818181818,6.06101205479797,3.41363198458574
1,5,dmist^{vir/+},94.5,123,37,53,53,2.17803837953092,2.6504854368932,11.8410615209312,7.00908105930496
1,5,dmist^{vir/+},7.5,32,3,20.5,20.5,2.3,4.37820512820513,11.2767096039687,5.07430555555556
1,5,dmist^{vir/+},21,61.5,13.5,53.5,53.5,1.75657894736842,1.14781746031746,10.0312459448619,2.1792442211861
1,5,dmist^{vir/vir},16.5,9.5,2.5,7,7,6.6,1.32222222222222,10.730140593047,6.59525210084034
1,5,dmist^{vir/vir},120,133.5,37,65.5,65.5,3.61545372866128,2.08950169327528,8.17375283218461,2.0763647024804
1,5,dmist^{vir/vir},320,154,134,104.5,104.5,2.25592635212888,1.47920252438325,2.77763732688912,1.72516742999142
