exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,dmist^{i8/i8},697,582,72,14,14,11.7109090909091,43.6042780748663,0.446984797297296,0.166152871621621
1,6,dmist^{i8/i8},505,400.5,113.5,92.5,92.5,4.64902935606061,4.35896082570959,0.493792908762421,0.336684333832623
1,6,dmist^{i8/i8},533,387.5,133.5,100,100,4.09345238095238,3.88822115384615,0.374481674692348,0.329378531073446
1,6,dmist^{i8/i8},80,117,64,78.5,78.5,1.27627627627628,1.49754901960784,0.825633851073549,0.641851185567386
1,6,dmist^{i8/i8},521,405,153.5,93.5,93.5,3.40481047084821,4.35811740426508,0.351995871092532,0.377289094650206
1,6,dmist^{i8/i8},502.5,419,146.5,101,101,3.49524144397562,4.17590408805031,0.368360805860805,0.301082251082251
1,6,dmist^{i8/i8},348,351.5,133,110,110,2.62804491793838,3.17991718426501,1.19778019265058,0.375196833547282
1,6,dmist^{i8/i8},434.5,340.5,155.5,104.5,104.5,2.80352118503807,3.29927175516224,0.456163908862514,0.396936633735027
1,6,dmist^{i8/i8},269,341,150.5,120,120,1.7639751552795,2.88111888111888,0.527060441345259,0.376812851073309
1,6,dmist^{i8/i8},699,506.5,90,60,60,8.00177125506073,8.93136111920723,0.453406670217014,0.498531568052441
1,6,dmist^{i8/i8},301.5,284.5,160.5,118,118,1.87027972027972,2.41733218217138,0.516477161900503,0.410791104741606
1,6,dmist^{i8/i8},382.5,374.5,157.5,107,107,2.42644557823129,3.62539325842697,0.387704562607204,0.301347406242982
1,6,dmist^{i8/i8},502.5,447.5,130,84.5,84.5,4.31633040288407,7.31265464828561,0.443709081752559,0.288888888888889
1,6,dmist^{i8/i8},343,344.5,172,117,117,2.01036854532389,2.95001463700234,0.423899877990165,0.347466612176916
1,6,dmist^{i8/i8},496.5,369.5,118.5,83.5,83.5,6.07660228270413,4.41438356164384,0.463838959075167,0.455639257745999
1,6,dmist^{i8/i8},335,404.5,164,106.5,106.5,2.0200767311059,3.79756656674308,0.531530150530851,0.321232839129528
1,6,dmist^{i8/i8},732.5,574,48.5,20,20,15.1028911564626,30,0.910136815920397,0.244705882352941
1,6,dmist^{i8/i8},296,408.5,136,105,105,2.10285239545832,4.52399760023998,0.526675458034812,0.257886794777039
1,6,dmist^{i8/i8},572,454,123,84,84,4.65615079365079,5.64489795918367,0.325245609831239,0.271677740863787
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
