exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,4,dmist^{i8/i8},97.5,180,47.5,84.5,84.5,2.1804435483871,2.11003670242801,4.20029911170375,0.8300579244888
1,4,dmist^{i8/i8},5.5,105,3.5,59,59,1.4,1.8110119047619,4.75390284692252,0.983839366736414
1,4,dmist^{i8/i8},17,79.5,9.5,47,47,1.625,1.6718827620467,2.88966809773262,0.888044593154682
1,4,dmist^{i8/i8},71,141,20,75,75,2.875,1.87643472022956,2.66879072414519,0.899655695611579
1,4,dmist^{i8/i8},113,124,50,53.5,53.5,2.32266009852217,2.11596385542169,5.25682423435419,1.31222768856127
1,4,dmist^{i8/i8},63.5,201.5,28.5,90,90,2.43896103896104,2.24802078179119,2.95868086140388,0.6852428515472
1,4,dmist^{i8/i8},40,187,19.5,76.5,76.5,1.58571428571429,2.44728298017772,4.89297702756932,0.706459770816796
1,4,dmist^{i8/i8},9,134,5.5,76.5,76.5,1.63636363636364,1.74871575342466,6.42631274712051,0.871828899538691
1,4,dmist^{i8/i8},23.5,171.5,9,93.5,93.5,2.61111111111111,1.83632723112128,4.40939397967623,0.626915411254726
1,4,dmist^{i8/i8},18,228.5,11,95.5,95.5,1.57264957264957,2.3806266548985,2.89019127415326,0.658039361519538
1,4,dmist^{i8/i8},17.5,301.5,14.5,83,83,1.33116883116883,3.6789010989011,2.12719097449313,0.6107812770921
1,4,dmist^{i8/i8},14.5,149.5,6.5,74.5,74.5,9,2.02518382352941,3.93185418038088,0.878190969361402
1,4,dmist^{i8/i8},54.5,145,33,86.5,86.5,1.85227272727273,1.67840909090909,3.34386777417359,0.8566522902553
1,4,dmist^{i8/i8},17.5,237.5,9,108,108,1.56666666666667,2.18034055727554,4.92424632583846,0.711069546891464
1,4,dmist^{i8/i8},13.5,159.5,4.5,81,81,3,1.97252747252747,4.30714096518803,0.738281500349207
1,4,dmist^{i8/i8},9.5,179,3,80,80,2.75,2.22516450008024,3.65521911663216,0.944075373419433
1,4,dmist^{i8/i8},29.5,194.5,8,61,61,2.53571428571429,3.20067476383266,3.59444487974818,0.943560134430644
1,4,dmist^{i8/i8},55.5,203.5,28.5,83,83,1.69493006993007,2.45760233918129,2.16651171436316,0.71811959761181
1,4,dmist^{i8/i8},50,267.5,17,56.5,56.5,2.22068965517241,4.86846301020408,3.50072219078162,1.1280099108609
1,4,dmist^{i8/i8},86.5,414.5,25.5,88.5,88.5,3.3222049689441,4.7485824742268,4.07670738848079,0.430043205821415
1,4,dmist^{i8/i8},20.5,128.5,9,64,64,2.46103896103896,2.01265182186235,8.81015416659276,0.967777170039615
1,4,dmist^{i8/i8},17,82,11,53,53,1.72222222222222,1.58582502768549,4.49296947405005,0.814707024710374
1,4,dmist^{i8/i8},5.5,236,3.5,96.5,96.5,2,2.44421176975945,5.89573274828426,0.609399817541725
1,4,dmist^{i8/i8},7.5,220.5,4.5,96.5,96.5,1.6,2.27130865260439,4.67379871774942,0.644310669456067
1,4,dmist^{i8/i8},44.5,175,27.5,73.5,73.5,1.59090909090909,2.38055555555556,3.21776563364693,0.81524949419173
1,4,dmist^{i8/i8},6,81,5.5,44.5,44.5,1.0625,1.8422256097561,4.31271632469103,1.02042480594298
1,4,dmist^{i8/i8},2,305,2,96.5,96.5,1,3.14544279250162,3.06622435220927,0.68297509713882
1,4,dmist^{i8/i8},22.5,83.5,6,43.5,43.5,2.5,2.03333333333333,7.29136904761905,1.08622418259469
1,4,dmist^{i8/i8},16.5,97,4.5,41,41,3.5,2.31106988249845,4.65683906365484,1.22593122578373
1,4,dmist^{i8/i8},130,158,51,76,76,2.56140350877193,2.08479278654413,2.53434441139415,0.823008808095952
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/+},71,199,38,65.5,65.5,1.86832986832987,3.04441327723235,1.67385108773682,0.795414284412962
1,4,dmist^{i8/+},7,159,4,73.5,73.5,1.5,2.092793490895,3.96287203950933,0.867366362747551
1,4,dmist^{i8/+},20.5,185.5,11.5,73.5,73.5,1.68253968253968,2.46197102554327,2.54133212398454,0.885048794594497
1,4,dmist^{i8/+},25,162.5,13.5,74,74,1.44230769230769,2.07047898338221,5.31652773654792,0.770377413566627
1,4,dmist^{i8/+},19.5,140.5,6,70.5,70.5,3.25,1.99315068493151,3.29682453416149,0.648763366336634
1,4,dmist^{i8/+},318.5,163,134.5,91,91,2.3687984496124,1.68446010025742,2.07023770509246,1.28828478977966
1,4,dmist^{i8/+},97,288.5,28.5,98,98,3.18939393939394,2.94746300211416,4.0696828803052,0.622541328103109
1,4,dmist^{i8/+},7,222,4,92,92,1.86666666666667,2.37115384615385,4.91250154367524,0.590211648699521
1,4,dmist^{i8/+},86,189,53.5,82.5,82.5,1.66177606177606,2.31608422939068,3.57208243329097,0.57955947865872
1,4,dmist^{i8/+},21,169,11.5,81,81,1.61666666666667,2.17620935765266,3.39763398190817,0.820846339650689
1,4,dmist^{i8/+},86,362.5,33,90,90,2.71225071225071,4.02994196814422,3.38200480208112,0.544583871006645
1,4,dmist^{i8/+},6,227.5,4.5,110.5,110.5,1.325,2.05950040950041,3.65643239125837,0.632632363744011
1,4,dmist^{i8/+},18,288.5,11.5,90.5,90.5,1.29545454545455,3.18632478632479,4.36046913050443,0.660340318415116
1,4,dmist^{i8/+},74.5,279.5,17,75.5,75.5,3.83928571428571,3.70078947368421,4.07931431491214,0.651485389610389
1,4,dmist^{i8/+},25.5,257.5,11.5,102,102,1.875,2.5611812313325,3.84151010874469,0.609215838509316
1,4,dmist^{i8/+},80.5,339,16.5,96.5,96.5,4.87878787878788,3.56617965367965,3.53167478354978,0.562298885511651
1,4,dmist^{i8/+},38,311,15,85.5,85.5,2.60227272727273,3.64259309967141,3.00457549791781,0.600670879501385
1,4,dmist^{i8/+},40,241,18,108,108,2.53333333333333,2.25693758419398,5.07851561072469,0.687750815610666
1,4,dmist^{i8/+},24,376.5,11,96.5,96.5,2.15,3.90490764604811,3.06630191211003,0.501031020261789
1,4,dmist^{i8/+},94,288.5,27.5,124.5,124.5,2.61363636363636,2.35519143413368,3.19813527947795,0.561625264270613
1,4,dmist^{i8/+},69,342.5,35.5,97.5,97.5,1.94563492063492,3.65106951871658,2.75595460474905,0.61512589577605
1,4,dmist^{i8/+},285,366.5,134,110,110,2.12916736471771,3.33279609885114,1.24792793386976,0.655663430420711
1,4,dmist^{i8/+},363.5,494.5,178.5,78,78,2.03905954928868,6.43172757475083,0.878799470721579,0.501887417218542
1,4,dmist^{i8/+},291,361.5,91,104.5,104.5,3.23958333333333,3.48771929824561,1.78686071872643,0.567692307692307
1,4,dmist^{i8/+},25.5,169.5,5,92.5,92.5,4.88095238095238,1.81325301204819,7.87295004480655,0.706626928471249
1,4,dmist^{i8/+},6,298,3.5,99.5,99.5,1.70833333333333,3.00747928037194,3.6179852734722,0.760457496217585
1,4,dmist^{i8/+},35,225.5,16,106,106,1.86285714285714,2.12773003938417,3.74478188879555,0.656893843712555
1,4,dmist^{i8/+},24.5,195,11.5,86,86,1.925,2.26744186046512,2.76778328722793,0.683868201252859
1,4,dmist^{i8/+},14.5,172,5,73.5,73.5,2.9,2.32833333333333,6.70580335418839,1.0108133611454
1,4,dmist^{i8/+},4,245.5,2.5,114.5,114.5,1.6,2.14044342507645,5.0333903000341,0.583828573042913
1,4,dmist^{i8/+},36.5,188.5,10,78.5,78.5,2.69444444444444,2.49949596774194,4.9745495818399,0.894672439661304
1,4,dmist^{i8/+},74,175,29,82.5,82.5,1.94397759103641,2.11746361746362,4.40491557973133,0.887068282948017
1,4,dmist^{i8/+},22.5,191,12.5,89.5,89.5,1.41666666666667,2.14492481203008,3.60318311789061,0.837502671718644
1,4,dmist^{i8/+},58,248,14.5,114,114,3.26948051948052,2.18524332810047,5.46267669225713,0.646541805441411
1,4,dmist^{i8/+},12.5,262,6,103,103,1.83333333333333,2.55178284309089,4.8978459535691,0.681127819548872
1,4,dmist^{i8/+},43,248.5,24.5,84.5,84.5,1.76333333333333,2.9318887634105,3.36211079880316,0.655029625598474
1,4,dmist^{i8/+},59,282.5,16.5,100.5,100.5,3.36111111111111,2.82048681541582,5.07176967801056,0.540048976630287
1,4,dmist^{i8/+},63.5,312.5,24.5,95,95,2.921875,3.28601507092199,4.04080346730257,0.516011904761904
1,4,dmist^{i8/+},9,302,4.5,125.5,125.5,1.925,2.39779533579712,3.16072210159912,0.464903704179238
1,4,dmist^{i8/+},13,221,4.5,62,62,2.39285714285714,3.3952850877193,4.25640330915539,0.942427116929109
1,4,dmist^{i8/+},175,196.5,60,62,62,2.86458333333333,3.05502136752137,3.46159833002348,0.704200718455321
