exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,4,dmist^{i8/i8},131.5,211,71.5,74.5,74.5,1.8343137254902,2.84014466546112,2.09015315569783,1.34009319683708
1,4,dmist^{i8/i8},138,88,83.5,47,47,1.63938434982739,1.66414141414141,1.66372589805737,1.09473717763745
1,4,dmist^{i8/i8},265,426,114.5,89,89,2.35688405797101,4.79343971631206,1.96343092988939,0.680923267765372
1,4,dmist^{i8/i8},221.5,191.5,113,81,81,1.99509803921569,2.37862068965517,1.19678090073754,0.681858056655499
1,4,dmist^{i8/i8},137.5,161,72,83.5,83.5,1.88869463869464,1.91330409356725,2.32918490631325,1.17663750956073
1,4,dmist^{i8/i8},156.5,296,72.5,100,100,2.08550454921423,2.95695130557516,2.75646946651877,0.953557908434877
1,4,dmist^{i8/i8},344.5,277.5,132,116.5,116.5,2.59238117427773,2.52533022533023,1.78244903747621,0.718462964070067
1,4,dmist^{i8/i8},210,210,110.5,109.5,109.5,1.89726332679622,1.91880305602716,1.22511000137833,0.881981931768041
1,4,dmist^{i8/i8},172,174,103,66,66,1.66732673267327,2.47575829949845,1.50149842786705,0.681681232204999
1,4,dmist^{i8/i8},309.5,335.5,113.5,83.5,83.5,2.7056141231593,4.33839495305164,1.39601028827777,0.842644496515262
1,4,dmist^{i8/i8},177.5,253,75,73.5,73.5,2.01672535211268,3.41364849409074,2.25183891559492,1.20945135130462
1,4,dmist^{i8/i8},195,349,69.5,70.5,70.5,2.53170787545788,5.03240740740741,2.11527133805127,1.05022197558269
1,4,dmist^{i8/i8},203,283.5,80.5,90.5,90.5,2.4323919554985,3.17061403508772,2.86745077720207,1.35877223680374
1,4,dmist^{i8/i8},140,127.5,48,46,46,2.9552435278631,2.64347202295552,3.26024752569834,1.27054556136299
1,4,dmist^{i8/i8},128,214,75.5,87.5,87.5,1.67522281639929,2.42516339869281,2.09639909042768,0.936943521594687
1,4,dmist^{i8/i8},215.5,152,72.5,49.5,49.5,2.37181663837012,3.07549099836334,1.78709121167056,0.959145918902018
1,4,dmist^{i8/i8},82,151.5,47,80.5,80.5,1.82035087719298,1.87511584800741,2.81891429960811,0.96733919736119
1,4,dmist^{i8/i8},360,305,126.5,93,93,2.85797101449275,3.30820964749536,1.99279843318564,1.18159835176751
1,4,dmist^{i8/i8},215,240.5,101.5,106,106,2.19326450344149,2.2783422459893,2.58251433583685,0.969906668304066
1,4,dmist^{i8/i8},214.5,186,109,85.5,85.5,1.90190476190476,2.2807418699187,0.905114720631964,0.659920719040149
1,4,dmist^{i8/i8},103.5,156.5,48,70,70,2.1604347826087,2.26403985507246,2.7694669850213,1.36125854417466
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/i8},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,dmist^{i8/+},114,104.5,78.5,73.5,73.5,1.43387155297533,1.42049241021844,1.50918021332128,0.856249045072576
1,4,dmist^{i8/+},309,293.5,82,70,70,3.75858991521642,4.22420147420147,1.97407119283357,1.12043980280229
1,4,dmist^{i8/+},109.5,261,56,85.5,85.5,1.75747126436782,3.05627053669222,2.63052832244009,1.07471317154074
1,4,dmist^{i8/+},35,185.5,24,66.5,66.5,1.50522648083624,2.55416666666667,1.74207750014768,0.901830760946784
1,4,dmist^{i8/+},45,172,32,77.5,77.5,1.49659863945578,2.28185096153846,2.84931667354884,0.956116218764735
1,4,dmist^{i8/+},246.5,246.5,120,113,113,2.14484848484849,2.1947821053502,1.50741888804265,0.685849203113778
1,4,dmist^{i8/+},167,109.5,68.5,65,65,2.56702226345084,1.9104609929078,1.37178040445525,0.843896197730079
1,4,dmist^{i8/+},280,320,134.5,99,99,2.06980120616484,3.25442684063374,1.21869378593824,0.799954118418178
1,4,dmist^{i8/+},210.5,253.5,118,109,109,1.78248222365869,2.32494732406237,1.84147186450168,0.901344715281667
1,4,dmist^{i8/+},213,196,106,74,74,1.97531572904707,2.56808549843376,1.80908001698617,0.813026126274767
1,4,dmist^{i8/+},103.5,223,58,82.5,82.5,1.78448275862069,2.59384384384384,1.82602574309978,0.741303524869042
1,4,dmist^{i8/+},37,51,25.5,39.5,39.5,1.45689655172414,1.30811688311688,2.17060477135733,1.11661553825362
1,4,dmist^{i8/+},144,281,67,95.5,95.5,2.17797619047619,2.94982433025911,2.79042523960257,1.02299100040907
1,4,dmist^{i8/+},34.5,52,27.5,35,35,1.26515151515152,1.47916666666667,2.11306935416542,1.14582258950839
1,4,dmist^{i8/+},59,84,36,49,49,1.66960705693665,1.80043859649123,2.55421451065702,0.948896462187603
1,4,dmist^{i8/+},96,44.5,74,36,36,1.30096726190476,1.23297213622291,1.22418954078413,0.857845348665782
