exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,dmist^{+/+},321,303.5,57,90,90,5.99937965260546,3.35378297660528,2.75892809409248,0.503207611281005
1,6,dmist^{+/+},146,440.5,39,60,60,4.09148486980999,7.75,3.05565770019554,0.585363176969016
1,6,dmist^{+/+},189.5,375.5,53,76.5,76.5,3.47305278700628,4.97622779519331,2.12530801737992,0.549528313224053
1,6,dmist^{+/+},157.5,222.5,61,94,94,2.56672047350013,2.34090909090909,2.35440615402787,0.656675906675907
1,6,dmist^{+/+},20,146.5,7.5,90.5,90.5,2.59615384615385,1.61880216003927,3.95117484588019,0.694791220131778
1,6,dmist^{+/+},90.5,190.5,27,87,87,3,2.1867151354924,3.25812666168162,0.545791974167491
1,6,dmist^{+/+},187,380.5,61,73.5,73.5,3.35796290844863,5.56338162409455,2.94539100076905,0.736211576846307
1,6,dmist^{+/+},127,485,69,52.5,52.5,1.86724137931034,9.30811403508772,1.82266234817814,0.499382716049382
1,6,dmist^{+/+},164.5,291,32,85.5,85.5,7.29487179487179,3.34512362637363,3.40148849642678,0.579151060705938
1,6,dmist^{+/+},74.5,301,37,92.5,92.5,1.70343137254902,3.33433168898285,2.95159127690565,0.619378211934593
1,6,dmist^{+/+},136.5,295,40,87.5,87.5,3.4125,3.37045989025346,3.60483006514664,0.572755115858564
1,6,dmist^{+/+},63,235.5,25.5,109,109,2.32432432432432,2.17458819492107,4.0785184769719,0.500391719470666
1,6,dmist^{+/+},146,339.5,33.5,115.5,115.5,5.52777777777778,2.93561571921404,2.2113357193097,0.397681587180248
1,6,dmist^{+/+},160,212,49,112.5,112.5,3.38553701326487,1.90579710144928,2.63797376778637,0.587832296380091
1,6,dmist^{+/+},264.5,405.5,65.5,94,94,3.80805243445693,4.35421645612837,1.76134779682361,0.554817886765235
1,6,dmist^{+/+},80.5,388,13.5,89,89,5.84065934065934,4.35955056179775,2.20245120144302,0.489347558251309
1,6,dmist^{+/+},187,452.5,46.5,74,74,3.87044817927171,6.13947320285348,2.23414923608195,0.440764732754681
1,6,dmist^{+/+},359.5,239,83,75,75,4.38752913752914,3.39069264069264,2.12545686567585,0.59031561461794
1,6,dmist^{+/+},234,250,70,67.5,67.5,3.38574938574939,3.62973151408451,3.69296963276836,0.782486778863196
1,6,dmist^{+/+},282,416,69.5,72,72,3.84444444444444,6.06142603199684,2.61618111448049,0.511436829066886
1,6,dmist^{+/+},77.5,148,22.5,73,73,3.26382488479263,2.05284090909091,3.11542011641244,0.680209223664757
1,6,dmist^{+/+},78,176.5,16,90,90,4.20289855072464,1.96111111111111,3.18067313042745,0.768611666296545
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/+},365,216,104,91,91,3.87119665597356,2.41704545454545,2.39175094599243,0.586193082353846
1,6,dmist^{i8/+},255.5,292,51,78.5,78.5,5.05745341614907,3.70284090909091,3.2099418728475,0.668763285467418
1,6,dmist^{i8/+},467,324,71,64.5,64.5,7.17319587628866,6.37261235955056,2.52468881252386,0.746023782980304
1,6,dmist^{i8/+},304,169,32.5,62,62,10.6730769230769,2.70803115766855,3.98657357754476,0.719408519796797
1,6,dmist^{i8/+},262,375,74.5,107.5,107.5,3.6498127340824,3.55811403508772,2.60421268599478,0.482035633370105
1,6,dmist^{i8/+},33,210.5,12,89,89,2.15,2.39988492520138,4.87755131867603,0.545072980047497
1,6,dmist^{i8/+},201,313.5,66,100,100,3.59864123334204,3.27851662404092,2.45733803049722,0.593010542756735
1,6,dmist^{i8/+},229.5,444.5,93.5,58,58,2.64727342549923,7.70459976105137,2.93921612288723,0.735952840595697
1,6,dmist^{i8/+},356.5,209,20.5,97.5,97.5,17.981884057971,2.04544965576592,3.79578015025702,0.587259443065895
1,6,dmist^{i8/+},121.5,348,65,86.5,86.5,1.93660130718954,4.02927024859663,2.48069631271895,0.60230819205923
1,6,dmist^{i8/+},248,182.5,40.5,98.5,98.5,6.51521739130435,1.85840206185567,5.1370944157249,0.592301329980811
1,6,dmist^{i8/+},80.5,249,18,102,102,4.16889632107023,2.44442307692308,4.42208196576191,0.600464657607514
1,6,dmist^{i8/+},179.5,392,58,93,93,2.79633204633205,4.21869570253678,3.15373817393797,0.740117699023071
1,6,dmist^{i8/+},31,272.5,9,104.5,104.5,3.45,2.60551383037186,2.40690038411441,0.629907122905027
1,6,dmist^{i8/+},393.5,506.5,59.5,32.5,32.5,6.81448863636364,15.8295019157088,2.97250337639833,0.605783083536656
1,6,dmist^{i8/+},125.5,461.5,62,76.5,76.5,2.03083333333333,6.04148135477249,2.01558262920023,0.463903508771929
1,6,dmist^{i8/+},73,366.5,20.5,110,110,3.56937799043062,3.33300264550265,5.67554546734234,0.527885509766651
1,6,dmist^{i8/+},147.5,379,36.5,89,89,3.99509803921569,4.25198938992042,2.89452945751507,0.569465737514517
1,6,dmist^{i8/+},191,387,118.5,105,105,1.60629480286738,3.70761670761671,1.34476316286092,0.486395034197679
1,6,dmist^{i8/+},33.5,207.5,13.5,95.5,95.5,2.74715909090909,2.17608504075788,3.33631628787879,0.586263779839797
1,6,dmist^{i8/+},249,429,43,65,65,6.03260869565217,6.67534017665314,3.40650656738629,0.721551527587778
1,6,dmist^{i8/+},110,252,25.5,97.5,97.5,4.40217391304348,2.58263202188092,4.09612631173963,0.658433264701224
1,6,dmist^{i8/+},65.5,345.5,34.5,91,91,1.85778175313059,3.92928737318176,1.78305685477237,0.425688509021841
1,6,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,dmist^{vir/+},125.5,299.5,42.5,53.5,53.5,3.17671130952381,5.55821678321678,2.69478634553218,0.864434575810522
1,6,dmist^{vir/+},419,361,115.5,73,73,3.95090204146226,4.95157657657658,1.78613469156763,0.781053212401282
1,6,dmist^{vir/+},151.5,193,61.5,66,66,2.63387096774194,2.79305555555556,2.67137098187682,0.809066991119154
1,6,dmist^{vir/+},98,183,22.5,84.5,84.5,4.43269230769231,2.12643184421535,4.12274794620292,0.589945350998346
1,6,dmist^{vir/+},192.5,301,30,102,102,6.41666666666667,2.96435109355429,5.99103260497763,0.573870127688171
1,6,dmist^{vir/+},5,219,3,97.5,97.5,1.66666666666667,2.25351213282248,4.65017613099161,0.62810507482108
1,6,dmist^{vir/+},77,356,31.5,89.5,89.5,3.10538461538462,4.2075641025641,2.8983865006808,0.688216475606504
1,6,dmist^{vir/+},115.5,314,29.5,72,72,4.05352941176471,4.63333333333333,4.20757617693454,0.649474239041848
1,6,dmist^{vir/+},164.5,433,46,79,79,4.67435897435897,5.69312776775463,3.1236837356894,0.747352749499988
1,6,dmist^{vir/+},226.5,396.5,41.5,81.5,81.5,5.49099883855981,5.92658662092624,3.14384134891178,0.640429557250136
1,6,dmist^{vir/+},178.5,342.5,61.5,101.5,101.5,3.04991369390104,3.35667577591255,2.48524021090988,0.503355307640297
1,6,dmist^{vir/+},196.5,270.5,77,96,96,2.5895419187554,2.81274424663482,2.78469037955244,0.651173041015153
1,6,dmist^{vir/+},235.5,362.5,40.5,80,80,6.325,4.64898785425101,2.34075150665004,0.648980092183975
1,6,dmist^{vir/+},298.5,252.5,109.5,103.5,103.5,2.74414669837205,2.40623234795707,2.68618267952127,0.509013731246677
