exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,atp1a3a^{+/+},9.5,161,8,58,58,1.32142857142857,2.75360576923077,2.76999773113684,0.769954619764362
1,6,atp1a3a^{+/+},192,335.5,82,69.5,69.5,2.31460674157303,4.82370600414079,2.02238222145804,0.720837465564738
1,6,atp1a3a^{+/+},11.5,274.5,8.5,89,89,1.21428571428571,3.08968754018259,3.98594158083535,0.62990931372549
1,6,atp1a3a^{+/+},42,263,16,71,71,2.5,3.8280701754386,3.98059681193376,0.672495305030731
1,6,atp1a3a^{+/+},113,337,22.5,76,76,4.62962962962963,4.41498257839721,3.08871537230445,0.589250597442398
1,6,atp1a3a^{+/+},32.5,458.5,24.5,60,60,1.32274247491639,7.84185848252344,2.7643015414543,0.518029701963177
1,6,atp1a3a^{+/+},15.5,316,12,78,78,1.15217391304348,4.09228740936058,4.57758607614678,0.78848901098901
1,6,atp1a3a^{+/+},12.5,290.5,7.5,97.5,97.5,1.64285714285714,2.97473684210526,3.01010933111171,0.542399547428291
1,6,atp1a3a^{+/+},3,311.5,1,76.5,76.5,3,4.07085194091377,4.90794021925317,0.712609658625837
1,6,atp1a3a^{+/+},22,324.5,12.5,84,84,1.71666666666667,3.88952745849298,2.50844279825645,0.750944665390091
1,6,atp1a3a^{+/+},51.5,283.5,30,83.5,83.5,1.79128014842301,3.38484195402299,1.97735564196848,0.689830368634698
1,6,atp1a3a^{+/+},20,325.5,18,79.5,79.5,1.06896551724138,4.14071428571429,2.140204825387,0.792860803153486
1,6,atp1a3a^{+/+},62,339,33.5,95.5,95.5,1.60964912280702,3.58057942278035,2.45696038386802,0.731735357423498
1,6,atp1a3a^{+/+},74,267.5,45.5,74.5,74.5,1.6474358974359,3.56663055254605,1.94212132332733,0.503261536387231
1,6,atp1a3a^{+/+},129.5,348.5,67,77.5,77.5,1.89445970695971,4.50008325008325,3.24098595051597,0.768988648090815
1,6,atp1a3a^{+/+},27,405.5,22.5,72,72,1.12857142857143,5.64357585139319,2.5571398830017,0.499082220393695
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,atp1a3a^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,atp1a3a^{+/-},121.5,230,55,69.5,69.5,2.12244152046784,3.3148033126294,5.21419660922473,0.72637204184111
2,7,atp1a3a^{+/-},24.5,80,16,49,49,1.52745098039216,1.62259306803594,6.28625304136253,0.911486519117465
2,7,atp1a3a^{+/-},99.5,111,37,34,34,3.03900709219858,3.32955536181343,3.56586726599683,0.894861209094815
2,7,atp1a3a^{+/-},45.5,216,35,81.5,81.5,1.24418604651163,2.66724870938354,2.81917915620782,0.762886344580334
