Genotype 1	Genotype 2	Genotype 3	Genotype 4	Genotype 5	Genotype 6	Genotype 7	Genotype 8
atp1a3aWT-atp1a3bWT	atp1a3aWT-atp1a3bHet	atp1a3aWT-atp1a3bHom	atp1a3aHet-atp1a3bWT	atp1a3aHet-atp1a3bHet	atp1a3aHet-atp1a3bHom	atp1a3aHom-atp1a3bWT	atp1a3aHom-atp1a3bHet
34	8	17	12	2	5	37	4
40	10	17	15	3	42	41	14
43	13		16	7		46	27
79	18		23	9		64	32
80	22		31	11		65	47
	24		51	19			48
	26		52	20			53
	29		57	21			56
	30		60	25			61
	36		67	28			77
	38		76	33			
	39		83	35			
	49		87	44			
	58			45			
	62			50			
	68			54			
	70			55			
	71			59			
	73			63			
	74			66			
	75			69			
	82			72			
	84			78			
				81			
				85			
				86			
				88			
				90			
				91			
